献立日,曜日,中学校献立名,中学校食品名,中学校食品群,エネルギー,たんぱく質
"2021/4/8","木","コッペパン","コッペパン",5,"863","32.7"
"2021/4/8","木","牛乳","牛乳",2,"",""
"2021/4/8","木","ポークビーンズ","豚肉",1,"",""
"2021/4/8","木","ポークビーンズ","たまねぎ",4,"",""
"2021/4/8","木","ポークビーンズ","にんじん",3,"",""
"2021/4/8","木","ポークビーンズ","じゃがいも",5,"",""
"2021/4/8","木","ポークビーンズ","ミックス豆",1,"",""
"2021/4/8","木","ポークビーンズ","こめ油",6,"",""
"2021/4/8","木","ポークビーンズ","こしょう",,"",""
"2021/4/8","木","ポークビーンズ","赤ワイン",,"",""
"2021/4/8","木","ポークビーンズ","ビーフシチューの素",,"",""
"2021/4/8","木","ポークビーンズ","水（ミキサー用）",,"",""
"2021/4/8","木","ポークビーンズ","リンゴピューレ",4,"",""
"2021/4/8","木","ポークビーンズ","トマトケチャップ",,"",""
"2021/4/8","木","ポークビーンズ","ウスターソース",,"",""
"2021/4/8","木","ポークビーンズ","スープストック",,"",""
"2021/4/8","木","ポークビーンズ","ローリエ",,"",""
"2021/4/8","木","ポークビーンズ","水",,"",""
"2021/4/8","木","アスパラのソテー","ベーコン",1,"",""
"2021/4/8","木","アスパラのソテー","アスパラガス",3,"",""
"2021/4/8","木","アスパラのソテー","こしょう",,"",""
"2021/4/8","木","アスパラのソテー","コンソメスープ",,"",""
"2021/4/8","木","アスパラのソテー","こめ油",6,"",""
"2021/4/8","木","フルーツミックスナタデココ","ミックスフルーツ",4,"",""
"2021/4/8","木","フルーツミックスナタデココ","ナタデココ",5,"",""
"2021/4/8","木","おさかなソーセージ","おさかなソーセージ",1,"",""
"2021/4/9","金","ごはん","ごはん",5,"757","27.9"
"2021/4/9","金","牛乳","牛乳",2,"",""
"2021/4/9","金","ビビンバ","牛肉",1,"",""
"2021/4/9","金","ビビンバ","こめ油",6,"",""
"2021/4/9","金","ビビンバ","清酒",,"",""
"2021/4/9","金","ビビンバ","カットほうれん草",3,"",""
"2021/4/9","金","ビビンバ","にんじん",3,"",""
"2021/4/9","金","ビビンバ","もやし",4,"",""
"2021/4/9","金","ビビンバ","三温糖",5,"",""
"2021/4/9","金","ビビンバ","みりん",,"",""
"2021/4/9","金","ビビンバ","こいくちしょうゆ",,"",""
"2021/4/9","金","ビビンバ","でん粉",5,"",""
"2021/4/9","金","奈良の大根キムチ","奈良の大根キムチ",4,"",""
"2021/4/9","金","トックスープ","トック",5,"",""
"2021/4/9","金","トックスープ","焼き豚",1,"",""
"2021/4/9","金","トックスープ","たまねぎ",4,"",""
"2021/4/9","金","トックスープ","とうふ",1,"",""
"2021/4/9","金","トックスープ","ねぎ",3,"",""
"2021/4/9","金","トックスープ","中華スープ",,"",""
"2021/4/9","金","トックスープ","うすくちしょうゆ",,"",""
"2021/4/9","金","トックスープ","こしょう",,"",""
"2021/4/9","金","トックスープ","ごま油",6,"",""
"2021/4/9","金","トックスープ","水",,"",""
"2021/4/12","月","ごはん","ごはん",5,"738","26.9"
"2021/4/12","月","牛乳","牛乳",2,"",""
"2021/4/12","月","だし巻き卵","だし巻き卵",1,"",""
"2021/4/12","月","茎わかめの五目煮","くきわかめ",2,"",""
"2021/4/12","月","茎わかめの五目煮","さつまあげ",1,"",""
"2021/4/12","月","茎わかめの五目煮","にんじん",3,"",""
"2021/4/12","月","茎わかめの五目煮","豚肉",1,"",""
"2021/4/12","月","茎わかめの五目煮","突こんにゃく",5,"",""
"2021/4/12","月","茎わかめの五目煮","白いりごま",6,"",""
"2021/4/12","月","茎わかめの五目煮","ごま油",6,"",""
"2021/4/12","月","茎わかめの五目煮","三温糖",5,"",""
"2021/4/12","月","茎わかめの五目煮","こいくちしょうゆ",,"",""
"2021/4/12","月","茎わかめの五目煮","だしの素",,"",""
"2021/4/12","月","茎わかめの五目煮","みりん",,"",""
"2021/4/12","月","キャベツのみそ汁","たまねぎ",4,"",""
"2021/4/12","月","キャベツのみそ汁","キャベツ",4,"",""
"2021/4/12","月","キャベツのみそ汁","えのきたけ",4,"",""
"2021/4/12","月","キャベツのみそ汁","うすあげ",1,"",""
"2021/4/12","月","キャベツのみそ汁","だしの素",,"",""
"2021/4/12","月","キャベツのみそ汁","みそ",1,"",""
"2021/4/12","月","キャベツのみそ汁","水（ミキサー用）",,"",""
"2021/4/12","月","キャベツのみそ汁","水",,"",""
"2021/4/13","火","コッペパン","コッペパン",5,"800","33.9"
"2021/4/13","火","牛乳","牛乳",2,"",""
"2021/4/13","火","たらのスイートチリソースかけ","タラ（でん粉付）",1,"",""
"2021/4/13","火","たらのスイートチリソースかけ","こめ油",6,"",""
"2021/4/13","火","たらのスイートチリソースかけ","三温糖",5,"",""
"2021/4/13","火","たらのスイートチリソースかけ","米酢",,"",""
"2021/4/13","火","たらのスイートチリソースかけ","みりん",,"",""
"2021/4/13","火","たらのスイートチリソースかけ","トウバンジャン",,"",""
"2021/4/13","火","たらのスイートチリソースかけ","ガーリック",,"",""
"2021/4/13","火","たらのスイートチリソースかけ","でん粉",5,"",""
"2021/4/13","火","もやしの炒め物","もやし",4,"",""
"2021/4/13","火","もやしの炒め物","とうもろこし",4,"",""
"2021/4/13","火","もやしの炒め物","ブラックペッパー",,"",""
"2021/4/13","火","もやしの炒め物","コンソメスープ",,"",""
"2021/4/13","火","もやしの炒め物","うすくちしょうゆ",,"",""
"2021/4/13","火","もやしの炒め物","こめ油",6,"",""
"2021/4/13","火","フォーガー","フォー",5,"",""
"2021/4/13","火","フォーガー","鶏肉",1,"",""
"2021/4/13","火","フォーガー","白ねぎ",4,"",""
"2021/4/13","火","フォーガー","チンゲンサイ",3,"",""
"2021/4/13","火","フォーガー","にんじん",3,"",""
"2021/4/13","火","フォーガー","中華スープ",,"",""
"2021/4/13","火","フォーガー","うすくちしょうゆ",,"",""
"2021/4/13","火","フォーガー","塩",,"",""
"2021/4/13","火","フォーガー","清酒",,"",""
"2021/4/13","火","フォーガー","おろししょうが",,"",""
"2021/4/13","火","フォーガー","こしょう",,"",""
"2021/4/13","火","フォーガー","水",,"",""
"2021/4/13","火","ブルーベリージャム","ブルーベリージャム",4,"",""
"2021/4/14","水","ごはん","ごはん",5,"763","26.4"
"2021/4/14","水","牛乳","牛乳",2,"",""
"2021/4/14","水","豚肉のしょうが焼き","豚肉",1,"",""
"2021/4/14","水","豚肉のしょうが焼き","たまねぎ",4,"",""
"2021/4/14","水","豚肉のしょうが焼き","にら",3,"",""
"2021/4/14","水","豚肉のしょうが焼き","おろししょうが",,"",""
"2021/4/14","水","豚肉のしょうが焼き","こいくちしょうゆ",,"",""
"2021/4/14","水","豚肉のしょうが焼き","三温糖",5,"",""
"2021/4/14","水","豚肉のしょうが焼き","清酒",,"",""
"2021/4/14","水","豚肉のしょうが焼き","こめ油",6,"",""
"2021/4/14","水","豚肉のしょうが焼き","でん粉",5,"",""
"2021/4/14","水","長いも揚げ","長いも揚げ",5,"",""
"2021/4/14","水","長いも揚げ","塩",,"",""
"2021/4/14","水","長いも揚げ","こめ油",6,"",""
"2021/4/14","水","すまし汁","たまねぎ",4,"",""
"2021/4/14","水","すまし汁","えのきたけ",4,"",""
"2021/4/14","水","すまし汁","みつば",3,"",""
"2021/4/14","水","すまし汁","とうふ",1,"",""
"2021/4/14","水","すまし汁","花ふ",5,"",""
"2021/4/14","水","すまし汁","だしの素",,"",""
"2021/4/14","水","すまし汁","うすくちしょうゆ",,"",""
"2021/4/14","水","すまし汁","みりん",,"",""
"2021/4/14","水","すまし汁","水",,"",""
"2021/4/15","木","食パン","食パン",5,"940","40.8"
"2021/4/15","木","牛乳","牛乳",2,"",""
"2021/4/15","木","白身魚フライ","白身魚フライ",1,"",""
"2021/4/15","木","白身魚フライ","こめ油",6,"",""
"2021/4/15","木","トマトビーンズ","鶏肉",1,"",""
"2021/4/15","木","トマトビーンズ","大豆",1,"",""
"2021/4/15","木","トマトビーンズ","ひよこ豆",1,"",""
"2021/4/15","木","トマトビーンズ","じゃがいも",5,"",""
"2021/4/15","木","トマトビーンズ","たまねぎ",4,"",""
"2021/4/15","木","トマトビーンズ","ホールトマト",3,"",""
"2021/4/15","木","トマトビーンズ","コンソメスープ",,"",""
"2021/4/15","木","トマトビーンズ","トマトケチャップ",,"",""
"2021/4/15","木","トマトビーンズ","とんかつソース",,"",""
"2021/4/15","木","トマトビーンズ","三温糖",5,"",""
"2021/4/15","木","トマトビーンズ","オリーブオイル",6,"",""
"2021/4/15","木","トマトビーンズ","水",,"",""
"2021/4/15","木","コンソメスープ","にんじん",3,"",""
"2021/4/15","木","コンソメスープ","たまねぎ",4,"",""
"2021/4/15","木","コンソメスープ","とうもろこし",4,"",""
"2021/4/15","木","コンソメスープ","マカロニ（シェル）",5,"",""
"2021/4/15","木","コンソメスープ","コンソメスープ",,"",""
"2021/4/15","木","コンソメスープ","うすくちしょうゆ",,"",""
"2021/4/15","木","コンソメスープ","こしょう",,"",""
"2021/4/15","木","コンソメスープ","水",,"",""
"2021/4/15","木","スライスチーズ","スライスチーズ",2,"",""
"2021/4/16","金","ごはん","ごはん",5,"862","35.4"
"2021/4/16","金","牛乳","牛乳",2,"",""
"2021/4/16","金","マーボーどうふ","豚ミンチ",1,"",""
"2021/4/16","金","マーボーどうふ","とうふ",1,"",""
"2021/4/16","金","マーボーどうふ","たまねぎ",4,"",""
"2021/4/16","金","マーボーどうふ","たけのこ",4,"",""
"2021/4/16","金","マーボーどうふ","にら",3,"",""
"2021/4/16","金","マーボーどうふ","にんじん",3,"",""
"2021/4/16","金","マーボーどうふ","ごま油",6,"",""
"2021/4/16","金","マーボーどうふ","おろししょうが",,"",""
"2021/4/16","金","マーボーどうふ","おろしにんにく",,"",""
"2021/4/16","金","マーボーどうふ","トウバンジャン",,"",""
"2021/4/16","金","マーボーどうふ","赤みそ",1,"",""
"2021/4/16","金","マーボーどうふ","オイスターソース",,"",""
"2021/4/16","金","マーボーどうふ","三温糖",5,"",""
"2021/4/16","金","マーボーどうふ","清酒",,"",""
"2021/4/16","金","マーボーどうふ","中華スープ",,"",""
"2021/4/16","金","マーボーどうふ","こいくちしょうゆ",,"",""
"2021/4/16","金","マーボーどうふ","でん粉",5,"",""
"2021/4/16","金","マーボーどうふ","水",,"",""
"2021/4/16","金","シューマイ（３個）","シューマイ",1,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","チンゲンサイ",3,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","ちりめんじゃこ",2,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","えりんぎ",4,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","うすくちしょうゆ",,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","スープストック",,"",""
"2021/4/16","金","チンゲンサイのじゃこ炒め","こめ油",6,"",""
"2021/4/19","月","ごはん","ごはん",5,"847","25.9"
"2021/4/19","月","牛乳","牛乳",2,"",""
"2021/4/19","月","チキン南蛮","鶏肉（でん粉付）",1,"",""
"2021/4/19","月","チキン南蛮","こめ油",6,"",""
"2021/4/19","月","チキン南蛮","米酢",,"",""
"2021/4/19","月","チキン南蛮","うすくちしょうゆ",,"",""
"2021/4/19","月","チキン南蛮","三温糖",5,"",""
"2021/4/19","月","チキン南蛮","みりん",,"",""
"2021/4/19","月","チキン南蛮","水",,"",""
"2021/4/19","月","パックタルタルソース","パックタルタルソース（ノンエッ",6,"",""
"2021/4/19","月","切り干し大根ときゅうりのサラダ","切り干し大根",4,"",""
"2021/4/19","月","切り干し大根ときゅうりのサラダ","きゅうり",4,"",""
"2021/4/19","月","切り干し大根ときゅうりのサラダ","キャベツ",4,"",""
"2021/4/19","月","切り干し大根ときゅうりのサラダ","しそドレッシング",6,"",""
"2021/4/19","月","かねんしゅい","すいとん",5,"",""
"2021/4/19","月","かねんしゅい","あつあげ",1,"",""
"2021/4/19","月","かねんしゅい","大根",4,"",""
"2021/4/19","月","かねんしゅい","にんじん",3,"",""
"2021/4/19","月","かねんしゅい","ラッキーにんじん",3,"",""
"2021/4/19","月","かねんしゅい","里いも",5,"",""
"2021/4/19","月","かねんしゅい","ねぎ",3,"",""
"2021/4/19","月","かねんしゅい","だしの素",,"",""
"2021/4/19","月","かねんしゅい","うすくちしょうゆ",,"",""
"2021/4/19","月","かねんしゅい","みりん",,"",""
"2021/4/19","月","かねんしゅい","水",,"",""
"2021/4/20","火","米粉パン","米粉パン",5,"902","38.6"
"2021/4/20","火","牛乳","牛乳",2,"",""
"2021/4/20","火","ハンバーグ","ハンバーグ(ケチャップソース)",1,"",""
"2021/4/20","火","れんこんの洋風ソテー","れんこん",4,"",""
"2021/4/20","火","れんこんの洋風ソテー","とうもろこし",4,"",""
"2021/4/20","火","れんこんの洋風ソテー","オリーブオイル",6,"",""
"2021/4/20","火","れんこんの洋風ソテー","コンソメスープ",,"",""
"2021/4/20","火","れんこんの洋風ソテー","ブラックペッパー",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","スパゲティ",5,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","ベーコン",1,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","白ワイン",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","たまねぎ",4,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","にんじん",3,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","菜の花",3,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","おろしにんにく",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","オリーブオイル",6,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","塩",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","コンソメスープ",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","ローリエ",,"",""
"2021/4/20","火","菜の花のクリームスパゲティ","チーズ（シュレッド）",2,"",""
