献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
"2021/4/8","木","コッペパン","コッペパン","黄","626","23.9"
"2021/4/8","木","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/8","木","ポークビーンズ","ぶたにく","赤","",""
"2021/4/8","木","ポークビーンズ","たまねぎ","緑","",""
"2021/4/8","木","ポークビーンズ","にんじん","緑","",""
"2021/4/8","木","ポークビーンズ","じゃがいも","黄","",""
"2021/4/8","木","ポークビーンズ","ミックスまめ","赤","",""
"2021/4/8","木","ポークビーンズ","こめあぶら","黄","",""
"2021/4/8","木","ポークビーンズ","こしょう","","",""
"2021/4/8","木","ポークビーンズ","あかワイン","","",""
"2021/4/8","木","ポークビーンズ","ビーフシチューのもと","","",""
"2021/4/8","木","ポークビーンズ","水（ミキサー用）","","",""
"2021/4/8","木","ポークビーンズ","リンゴピューレ","緑","",""
"2021/4/8","木","ポークビーンズ","トマトケチャップ","","",""
"2021/4/8","木","ポークビーンズ","ウスターソース","","",""
"2021/4/8","木","ポークビーンズ","スープストック","","",""
"2021/4/8","木","ポークビーンズ","ローリエ","","",""
"2021/4/8","木","ポークビーンズ","水","","",""
"2021/4/8","木","アスパラのソテー","ベーコン","赤","",""
"2021/4/8","木","アスパラのソテー","アスパラガス","緑","",""
"2021/4/8","木","アスパラのソテー","こしょう","","",""
"2021/4/8","木","アスパラのソテー","コンソメスープ","","",""
"2021/4/8","木","アスパラのソテー","こめあぶら","黄","",""
"2021/4/8","木","フルーツミックスナタデココ","ミックスフルーツ","緑","",""
"2021/4/8","木","フルーツミックスナタデココ","ナタデココ","黄","",""
"2021/4/9","金","ごはん","ごはん","黄","651","23.9"
"2021/4/9","金","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/9","金","ビビンバ","ぎゅうにく","赤","",""
"2021/4/9","金","ビビンバ","こめあぶら","黄","",""
"2021/4/9","金","ビビンバ","せいしゅ","","",""
"2021/4/9","金","ビビンバ","カットほうれんそう","緑","",""
"2021/4/9","金","ビビンバ","にんじん","緑","",""
"2021/4/9","金","ビビンバ","もやし","緑","",""
"2021/4/9","金","ビビンバ","さんおんとう","黄","",""
"2021/4/9","金","ビビンバ","みりん","","",""
"2021/4/9","金","ビビンバ","こいくちしょうゆ","","",""
"2021/4/9","金","ビビンバ","でんぷん","黄","",""
"2021/4/9","金","にらのナムル","にら","緑","",""
"2021/4/9","金","にらのナムル","きりぼしだいこん","緑","",""
"2021/4/9","金","にらのナムル","にんじん","緑","",""
"2021/4/9","金","にらのナムル","ナムルドレッシング","黄","",""
"2021/4/9","金","トックスープ","トック","黄","",""
"2021/4/9","金","トックスープ","やきぶた","赤","",""
"2021/4/9","金","トックスープ","たまねぎ","緑","",""
"2021/4/9","金","トックスープ","とうふ","赤","",""
"2021/4/9","金","トックスープ","ねぎ","緑","",""
"2021/4/9","金","トックスープ","ちゅうかスープ","","",""
"2021/4/9","金","トックスープ","うすくちしょうゆ","","",""
"2021/4/9","金","トックスープ","こしょう","","",""
"2021/4/9","金","トックスープ","ごまあぶら","黄","",""
"2021/4/9","金","トックスープ","水","","",""
"2021/4/12","月","ごはん","ごはん","黄","633","23.7"
"2021/4/12","月","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/12","月","だしまきたまご","だしまきたまご","赤","",""
"2021/4/12","月","くきわかめのごもくに","くきわかめ","赤","",""
"2021/4/12","月","くきわかめのごもくに","さつまあげ","赤","",""
"2021/4/12","月","くきわかめのごもくに","にんじん","緑","",""
"2021/4/12","月","くきわかめのごもくに","ぶたにく","赤","",""
"2021/4/12","月","くきわかめのごもくに","つきこんにゃく","黄","",""
"2021/4/12","月","くきわかめのごもくに","しろいりごま","黄","",""
"2021/4/12","月","くきわかめのごもくに","ごまあぶら","黄","",""
"2021/4/12","月","くきわかめのごもくに","さんおんとう","黄","",""
"2021/4/12","月","くきわかめのごもくに","こいくちしょうゆ","","",""
"2021/4/12","月","くきわかめのごもくに","だしのもと","","",""
"2021/4/12","月","くきわかめのごもくに","みりん","","",""
"2021/4/12","月","キャベツのみそしる","たまねぎ","緑","",""
"2021/4/12","月","キャベツのみそしる","キャベツ","緑","",""
"2021/4/12","月","キャベツのみそしる","えのきたけ","緑","",""
"2021/4/12","月","キャベツのみそしる","うすあげ","赤","",""
"2021/4/12","月","キャベツのみそしる","だしのもと","","",""
"2021/4/12","月","キャベツのみそしる","みそ","赤","",""
"2021/4/12","月","キャベツのみそしる","水（ミキサー用）","","",""
"2021/4/12","月","キャベツのみそしる","水","","",""
"2021/4/13","火","コッペパン","コッペパン","黄","575","28.0"
"2021/4/13","火","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2021/4/13","火","たらのスイートチリソースかけ","タラ（かくぎり）","赤","",""
"2021/4/13","火","たらのスイートチリソースかけ","でんぷん","黄","",""
"2021/4/13","火","たらのスイートチリソースかけ","こめあぶら","黄","",""
"2021/4/13","火","たらのスイートチリソースかけ","さんおんとう","黄","",""
"2021/4/13","火","たらのスイートチリソースかけ","こめず","","",""
"2021/4/13","火","たらのスイートチリソースかけ","みりん","","",""
"2021/4/13","火","たらのスイートチリソースかけ","トウバンジャン","","",""
"2021/4/13","火","たらのスイートチリソースかけ","ガーリック","","",""
"2021/4/13","火","たらのスイートチリソースかけ","でんぷん","黄","",""
"2021/4/13","火","たらのスイートチリソースかけ","水","","",""
"2021/4/13","火","もやしのいためもの","もやし","緑","",""
"2021/4/13","火","もやしのいためもの","とうもろこし","緑","",""
"2021/4/13","火","もやしのいためもの","ブラックペッパー","","",""
"2021/4/13","火","もやしのいためもの","コンソメスープ","","",""
"2021/4/13","火","もやしのいためもの","うすくちしょうゆ","","",""
"2021/4/13","火","もやしのいためもの","こめあぶら","黄","",""
"2021/4/13","火","フォーガー","フォー","黄","",""
"2021/4/13","火","フォーガー","とりにく","赤","",""
"2021/4/13","火","フォーガー","しろねぎ","緑","",""
"2021/4/13","火","フォーガー","チンゲンサイ","緑","",""
"2021/4/13","火","フォーガー","にんじん","緑","",""
"2021/4/13","火","フォーガー","ちゅうかスープ","","",""
"2021/4/13","火","フォーガー","うすくちしょうゆ","","",""
"2021/4/13","火","フォーガー","しお","","",""
"2021/4/13","火","フォーガー","せいしゅ","","",""
"2021/4/13","火","フォーガー","おろししょうが","","",""
"2021/4/13","火","フォーガー","こしょう","","",""
"2021/4/13","火","フォーガー","水","","",""
"2021/4/13","火","ブルーベリージャム","ブルーベリージャム","緑","",""
"2021/4/14","水","ごはん","ごはん","黄","646","23.3"
"2021/4/14","水","ぎゅうにゅう","ぎゅうにゅう","赤","",""
