献立日,曜日,中学校献立名,中学校食品名,中学校食品群,エネルギー,たんぱく質
"2024/6/3","月","ごはん","ごはん",5,"723","27.3"
"2024/6/3","月","牛乳","牛乳",2,"",""
"2024/6/3","月","あじの南蛮漬け","あじ(でん粉付)",1,"",""
"2024/6/3","月","あじの南蛮漬け","こめ油",6,"",""
"2024/6/3","月","あじの南蛮漬け","三温糖",5,"",""
"2024/6/3","月","あじの南蛮漬け","米酢",,"",""
"2024/6/3","月","あじの南蛮漬け","みりん",,"",""
"2024/6/3","月","あじの南蛮漬け","こいくちしょうゆ",,"",""
"2024/6/3","月","あじの南蛮漬け","ごま油",6,"",""
"2024/6/3","月","あじの南蛮漬け","でん粉",5,"",""
"2024/6/3","月","あじの南蛮漬け","水",,"",""
"2024/6/3","月","煮びたし","さつまあげ",1,"",""
"2024/6/3","月","煮びたし","小松菜",3,"",""
"2024/6/3","月","煮びたし","にんじん",3,"",""
"2024/6/3","月","煮びたし","三温糖",5,"",""
"2024/6/3","月","煮びたし","だしの素",,"",""
"2024/6/3","月","煮びたし","こいくちしょうゆ",,"",""
"2024/6/3","月","煮びたし","みりん",,"",""
"2024/6/3","月","煮びたし","水",,"",""
"2024/6/3","月","鶏肉のすまし汁","鶏肉",1,"",""
"2024/6/3","月","鶏肉のすまし汁","たまねぎ",4,"",""
"2024/6/3","月","鶏肉のすまし汁","にんじん",3,"",""
"2024/6/3","月","鶏肉のすまし汁","みつば",3,"",""
"2024/6/3","月","鶏肉のすまし汁","とうふ",1,"",""
"2024/6/3","月","鶏肉のすまし汁","だしの素",,"",""
"2024/6/3","月","鶏肉のすまし汁","うすくちしょうゆ",,"",""
"2024/6/3","月","鶏肉のすまし汁","清酒",,"",""
"2024/6/3","月","鶏肉のすまし汁","こめ油",6,"",""
"2024/6/3","月","鶏肉のすまし汁","水",,"",""
"2024/6/4","火","コッペパン","コッペパン",5,"897","34.8"
"2024/6/4","火","牛乳","牛乳",2,"",""
"2024/6/4","火","ミートボール(3個)","ミートボール",1,"",""
"2024/6/4","火","さやいんげんとコーンのソテー","さやいんげん",3,"",""
"2024/6/4","火","さやいんげんとコーンのソテー","とうもろこし",4,"",""
"2024/6/4","火","さやいんげんとコーンのソテー","ブラックペッパー",,"",""
"2024/6/4","火","さやいんげんとコーンのソテー","コンソメスープ",,"",""
"2024/6/4","火","さやいんげんとコーンのソテー","こめ油",6,"",""
"2024/6/4","火","イタリアンスパゲティ","スパゲティ",5,"",""
"2024/6/4","火","イタリアンスパゲティ","ウインナー",1,"",""
"2024/6/4","火","イタリアンスパゲティ","たまねぎ",4,"",""
"2024/6/4","火","イタリアンスパゲティ","にんじん",3,"",""
"2024/6/4","火","イタリアンスパゲティ","ピーマン",3,"",""
"2024/6/4","火","イタリアンスパゲティ","しめじ",4,"",""
"2024/6/4","火","イタリアンスパゲティ","赤ワイン",,"",""
"2024/6/4","火","イタリアンスパゲティ","塩",,"",""
"2024/6/4","火","イタリアンスパゲティ","こしょう",,"",""
"2024/6/4","火","イタリアンスパゲティ","トマトケチャップ",,"",""
"2024/6/4","火","イタリアンスパゲティ","ウスターソース",,"",""
"2024/6/4","火","イタリアンスパゲティ","とんかつソース",,"",""
"2024/6/4","火","イタリアンスパゲティ","オリーブオイル",6,"",""
"2024/6/4","火","イタリアンスパゲティ","水",,"",""
"2024/6/5","水","ごはん","ごはん",5,"813","25.4"
"2024/6/5","水","牛乳","牛乳",2,"",""
"2024/6/5","水","いかの天ぷら","いかの天ぷら",1,"",""
"2024/6/5","水","いかの天ぷら","こめ油",6,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","鶏ミンチ",1,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","かぼちゃ",3,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","こめ油",6,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","清酒",,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","だしの素",,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","うすくちしょうゆ",,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","ざらめ",5,"",""
"2024/6/5","水","かぼちゃのそぼろ煮","水",,"",""
"2024/6/5","水","焼きふのみそ汁","たまねぎ",4,"",""
"2024/6/5","水","焼きふのみそ汁","にんじん",3,"",""
"2024/6/5","水","焼きふのみそ汁","えのきたけ",4,"",""
