献立日,曜日,小学校献立名,小学校食品名,小学校食品群,エネルギー,たんぱく質
"2024/6/3","月","ごはん","ごはん","黄","643","25.4"
"2024/6/3","月","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2024/6/3","月","やきししゃも(2び)","ししゃも","赤","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","ぶたにく","赤","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","ごまあぶら","黄","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","おろしにんにく","","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","せいしゅ","","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","うすくちしょうゆ","","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","こしょう","","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","たまねぎ","緑","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","にんじん","緑","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","キャベツ","緑","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","しおこうじ","","",""
"2024/6/3","月","ぶたにくのしおこうじレモンいため","レモンじる","緑","",""
"2024/6/3","月","ながいものみそしる","あつあげ(小)","赤","",""
"2024/6/3","月","ながいものみそしる","たまねぎ","緑","",""
"2024/6/3","月","ながいものみそしる","ねぎ","緑","",""
"2024/6/3","月","ながいものみそしる","ながいも","黄","",""
"2024/6/3","月","ながいものみそしる","なめこ","緑","",""
"2024/6/3","月","ながいものみそしる","みそ","赤","",""
"2024/6/3","月","ながいものみそしる","水（ミキサー用）","","",""
"2024/6/3","月","ながいものみそしる","だしのもと","","",""
"2024/6/3","月","ながいものみそしる","水","","",""
"2024/6/4","火","コッペパン","コッペパン","黄","620","20.6"
"2024/6/4","火","ぎゅうにゅう","ぎゅうにゅう","赤","",""
"2024/6/4","火","コーンコロッケ","コーンコロッケ","緑","",""
"2024/6/4","火","コーンコロッケ","こめあぶら","黄","",""
"2024/6/4","火","きのこのデミグラスソースに","しめじ","緑","",""
"2024/6/4","火","きのこのデミグラスソースに","えりんぎ","緑","",""
"2024/6/4","火","きのこのデミグラスソースに","まいたけ","緑","",""
"2024/6/4","火","きのこのデミグラスソースに","さんおんとう","黄","",""
"2024/6/4","火","きのこのデミグラスソースに","デミグラスソース","","",""
"2024/6/4","火","きのこのデミグラスソースに","トマトベースソース","","",""
"2024/6/4","火","きのこのデミグラスソースに","リンゴピューレ","緑","",""
"2024/6/4","火","きのこのデミグラスソースに","スープストック","","",""
"2024/6/4","火","きのこのデミグラスソースに","こしょう","","",""
"2024/6/4","火","きのこのデミグラスソースに","しお","","",""
"2024/6/4","火","ささみのスープ","ササミ","赤","",""
"2024/6/4","火","ささみのスープ","たまねぎ","緑","",""
"2024/6/4","火","ささみのスープ","にんじん","緑","",""
"2024/6/4","火","ささみのスープ","ほうれんそう","緑","",""
